Episode 363: Avg Reward = 453.29, Success Rate = 1.00
Episode 364: Avg Reward = 92.42, Success Rate = 1.00
Episode 365: Avg Reward = 87.67, Success Rate = 1.00
Episode 366: Avg Reward = 117.23, Success Rate = 1.00
Episode 367: Avg Reward = 453.29, Success Rate = 1.00
Episode 368: Avg Reward = 92.42, Success Rate = 1.00
Episode 369: Avg Reward = 87.67, Success Rate = 1.00
Episode 370: Avg Reward = 117.23, Success Rate = 1.00
Episode 371: Avg Reward = 453.29, Success Rate = 1.00
Episode 372: Avg Reward = 92.42, Success Rate = 1.00
Episode 373: Avg Reward = 87.67, Success Rate = 1.00
Episode 374: Avg Reward = 117.23, Success Rate = 1.00
Episode 375: Avg Reward = 453.29, Success Rate = 1.00
Episode 376: Avg Reward = 92.42, Success Rate = 1.00
Episode 377: Avg Reward = 87.67, Success Rate = 1.00
Episode 378: Avg Reward = 117.23, Success Rate = 1.00
Episode 379: Avg Reward = 453.29, Success Rate = 1.00
Episode 380: Avg Reward = 92.42, Success Rate = 1.00
Episode 381: Avg Reward = 87.67, Success Rate = 1.00
Episode 382: Avg Reward = 117.23, Success Rate = 1.00
Episode 383: Avg Reward = 453.29, Success Rate = 1.00
Episode 384: Avg Reward = 92.42, Success Rate = 1.00
Episode 385: Avg Reward = 87.67, Success Rate = 1.00
Episode 386: Avg Reward = 117.23, Success Rate = 1.00
Episode 387: Avg Reward = 453.29, Success Rate = 1.00
Episode 388: Avg Reward = 92.42, Success Rate = 1.00
Episode 389: Avg Reward = 87.67, Success Rate = 1.00
Episode 390: Avg Reward = 117.23, Success Rate = 1.00
Episode 391: Avg Reward = 453.29, Success Rate = 1.00
Episode 392: Avg Reward = 92.42, Success Rate = 1.00
Episode 393: Avg Reward = 87.67, Success Rate = 1.00
Episode 394: Avg Reward = 117.23, Success Rate = 1.00
Episode 395: Avg Reward = 453.29, Success Rate = 1.00
Episode 396: Avg Reward = 92.42, Success Rate = 1.00
Episode 397: Avg Reward = 87.67, Success Rate = 1.00
Episode 398: Avg Reward = 117.23, Success Rate = 1.00
Episode 399: Avg Reward = 453.29, Success Rate = 1.00
Episode 400: Avg Reward = 92.42, Success Rate = 1.00
Episode 401: Avg Reward = 87.67, Success Rate = 1.00
Episode 402: Avg Reward = 117.23, Success Rate = 1.00
Episode 403: Avg Reward = 453.29, Success Rate = 1.00
Episode 404: Avg Reward = 92.42, Success Rate = 1.00
Episode 405: Avg Reward = 87.67, Success Rate = 1.00
Episode 406: Avg Reward = 117.23, Success Rate = 1.00
Episode 407: Avg Reward = 453.29, Success Rate = 1.00
Episode 408: Avg Reward = 92.42, Success Rate = 1.00
Episode 409: Avg Reward = 87.67, Success Rate = 1.00
Episode 410: Avg Reward = 117.23, Success Rate = 1.00
Episode 411: Avg Reward = 453.29, Success Rate = 1.00
Episode 412: Avg Reward = 92.42, Success Rate = 1.00
Episode 413: Avg Reward = 87.67, Success Rate = 1.00
Episode 414: Avg Reward = 117.23, Success Rate = 1.00
Episode 415: Avg Reward = 453.29, Success Rate = 1.00
Episode 416: Avg Reward = 92.42, Success Rate = 1.00
Episode 417: Avg Reward = 87.67, Success Rate = 1.00
Episode 418: Avg Reward = 117.23, Success Rate = 1.00
Episode 419: Avg Reward = 453.29, Success Rate = 1.00
Episode 420: Avg Reward = 92.42, Success Rate = 1.00
Episode 421: Avg Reward = 87.67, Success Rate = 1.00
Episode 422: Avg Reward = 117.23, Success Rate = 1.00
Episode 423: Avg Reward = 453.29, Success Rate = 1.00
Episode 424: Avg Reward = 92.42, Success Rate = 1.00
Episode 425: Avg Reward = 87.67, Success Rate = 1.00
Episode 426: Avg Reward = 117.23, Success Rate = 1.00
Episode 427: Avg Reward = 453.29, Success Rate = 1.00
Episode 428: Avg Reward = 92.42, Success Rate = 1.00
Episode 429: Avg Reward = 87.67, Success Rate = 1.00
Episode 430: Avg Reward = 117.23, Success Rate = 1.00
Episode 431: Avg Reward = 453.29, Success Rate = 1.00
Episode 432: Avg Reward = 92.42, Success Rate = 1.00
Episode 433: Avg Reward = 87.67, Success Rate = 1.00
Episode 434: Avg Reward = 117.23, Success Rate = 1.00
Episode 435: Avg Reward = 453.29, Success Rate = 1.00
Episode 436: Avg Reward = 92.42, Success Rate = 1.00
Episode 437: Avg Reward = 87.67, Success Rate = 1.00
Episode 438: Avg Reward = 117.23, Success Rate = 1.00
Episode 439: Avg Reward = 453.29, Success Rate = 1.00
Episode 440: Avg Reward = 92.42, Success Rate = 1.00
Episode 441: Avg Reward = 87.67, Success Rate = 1.00
Episode 442: Avg Reward = 117.23, Success Rate = 1.00
Episode 443: Avg Reward = 453.29, Success Rate = 1.00
Episode 444: Avg Reward = 92.42, Success Rate = 1.00
Episode 445: Avg Reward = 87.67, Success Rate = 1.00
Episode 446: Avg Reward = 117.23, Success Rate = 1.00
Episode 447: Avg Reward = 453.29, Success Rate = 1.00
Episode 448: Avg Reward = 92.42, Success Rate = 1.00
Episode 449: Avg Reward = 87.67, Success Rate = 1.00
Episode 450: Avg Reward = 117.23, Success Rate = 1.00
Episode 451: Avg Reward = 453.29, Success Rate = 1.00
Episode 452: Avg Reward = 92.42, Success Rate = 1.00
Episode 453: Avg Reward = 87.67, Success Rate = 1.00
Episode 454: Avg Reward = 117.23, Success Rate = 1.00
Episode 455: Avg Reward = 453.29, Success Rate = 1.00
Episode 456: Avg Reward = 92.42, Success Rate = 1.00
Episode 457: Avg Reward = 87.67, Success Rate = 1.00
Episode 458: Avg Reward = 117.23, Success Rate = 1.00
Episode 459: Avg Reward = 453.29, Success Rate = 1.00
Episode 460: Avg Reward = 92.42, Success Rate = 1.00
Episode 461: Avg Reward = 87.67, Success Rate = 1.00
Episode 462: Avg Reward = 117.23, Success Rate = 1.00
Episode 463: Avg Reward = 453.29, Success Rate = 1.00
Episode 464: Avg Reward = 92.42, Success Rate = 1.00
Episode 465: Avg Reward = 87.67, Success Rate = 1.00
Episode 466: Avg Reward = 117.23, Success Rate = 1.00
Episode 467: Avg Reward = 453.29, Success Rate = 1.00
Episode 468: Avg Reward = 92.42, Success Rate = 1.00
Episode 469: Avg Reward = 87.67, Success Rate = 1.00
Episode 470: Avg Reward = 117.23, Success Rate = 1.00
Episode 471: Avg Reward = 453.29, Success Rate = 1.00
Episode 472: Avg Reward = 92.42, Success Rate = 1.00
Episode 473: Avg Reward = 87.67, Success Rate = 1.00
Episode 474: Avg Reward = 117.23, Success Rate = 1.00
Episode 475: Avg Reward = 453.29, Success Rate = 1.00
Episode 476: Avg Reward = 92.42, Success Rate = 1.00
Episode 477: Avg Reward = 87.67, Success Rate = 1.00
Episode 478: Avg Reward = 117.23, Success Rate = 1.00
Episode 479: Avg Reward = 453.29, Success Rate = 1.00
Episode 480: Avg Reward = 92.42, Success Rate = 1.00
Episode 481: Avg Reward = 87.67, Success Rate = 1.00
